School Year,State,District Code,District Name,School Code,School Name,Grade,Total,Hispanic / Latino of any race(s),American Indian / Alaskan Native,Asian,Black / African American,Native Hawaiian / Other Pacific Islander,White,Two or More Races,Not Provided*,Male,Female,Hispanic / Latino of any race(s)_M,Hispanic / Latino of any race(s)_F,American Indian / Alaskan Native_M,American Indian / Alaskan Native_F,Asian_M,Asian_F,Black / African American_M,Black / African American_F,Native Hawaiian / Other Pacific Islander_M,Native Hawaiian / Other Pacific Islander_F,White_M,White_F,Two or More Races_M,Two or More Races_F,Not Provided_M*,Not Provided_F*,% Hispanic / Latino of any race(s),% American Indian / Alaskan Native,% Asian,% Black / African American,% Native Hawaiian / Other Pacific Islander,% White,% Two or More Races,% Not Provided*,% Male,% Female
2015,WA,18902,Suquamish Tribal Education Department,5319,Chief Kitsap Academy,8,8,0,2,0,0,0,3,3,0,3,5,0,0,1,1,0,0,0,0,0,0,1,2,1,2,0,0,0.00,25.00,0.00,0.00,0.00,37.50,37.50,0.00,37.50,62.50
2015,WA,18902,Suquamish Tribal Education Department,5319,Chief Kitsap Academy,9,3,1,1,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,33.33,33.33,0.00,0.00,0.00,0.00,33.33,0.00,66.67,33.33
2015,WA,18902,Suquamish Tribal Education Department,5319,Chief Kitsap Academy,10,9,4,2,0,0,0,1,2,0,8,1,4,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,44.44,22.22,0.00,0.00,0.00,11.11,22.22,0.00,88.89,11.11
2015,WA,18902,Suquamish Tribal Education Department,5319,Chief Kitsap Academy,11,7,0,3,0,0,0,0,4,0,6,1,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0.00,42.86,0.00,0.00,0.00,0.00,57.14,0.00,85.71,14.29
2015,WA,18902,Suquamish Tribal Education Department,5319,Chief Kitsap Academy,12,10,2,7,0,0,0,0,1,0,5,5,2,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,20.00,70.00,0.00,0.00,0.00,0.00,10.00,0.00,50.00,50.00
2015,WA,27010,Tacoma School District,4575,Angelo Giaudrone Middle School,6,201,32,0,20,61,4,74,10,0,98,103,18,14,0,0,10,10,27,34,2,2,37,37,4,6,0,0,15.92,0.00,9.95,30.35,1.99,36.82,4.98,0.00,48.76,51.24
2015,WA,27010,Tacoma School District,4575,Angelo Giaudrone Middle School,7,192,37,7,24,47,2,67,8,0,101,91,20,17,3,4,15,9,25,22,2,0,31,36,5,3,0,0,19.27,3.65,12.50,24.48,1.04,34.90,4.17,0.00,52.60,47.40
2015,WA,27010,Tacoma School District,4575,Angelo Giaudrone Middle School,8,245,43,3,29,72,3,93,2,0,117,128,17,26,1,2,14,15,36,36,1,2,47,46,1,1,0,0,17.55,1.22,11.84,29.39,1.22,37.96,0.82,0.00,47.76,52.24
2015,WA,27010,Tacoma School District,2940,Arlington,PK,16,3,0,1,4,0,4,4,0,11,5,2,1,0,0,1,0,2,2,0,0,3,1,3,1,0,0,18.75,0.00,6.25,25.00,0.00,25.00,25.00,0.00,68.75,31.25
2015,WA,27010,Tacoma School District,2940,Arlington,K1,45,11,0,2,10,2,16,4,0,24,21,5,6,0,0,1,1,6,4,1,1,9,7,2,2,0,0,24.44,0.00,4.44,22.22,4.44,35.56,8.89,0.00,53.33,46.67
